timestamp_envio,node_destino,sample_id,classe_real,status,decisao_recebida
2026-09-04T12:26:08.075123,no_1,0,evil_twin,ERROR,N/A
2026-09-04T12:26:42.647260,no_1,0,evil_twin,OK,benign
2026-09-04T12:27:01.406263,no_2,1,evil_twin,OK,benign
2026-09-04T12:27:20.904734,no_3,2,evil_twin,OK,benign
2026-09-04T12:27:43.449084,no_1,3,evil_twin,OK,benign
2026-09-04T12:27:44.341459,no_2,4,evil_twin,OK,benign
2026-09-04T12:27:45.033309,no_3,5,evil_twin,OK,benign
2026-09-04T12:27:45.682982,no_1,6,evil_twin,OK,benign
2026-09-04T12:27:46.313538,no_2,7,evil_twin,OK,benign
2026-09-04T12:27:46.896127,no_3,8,evil_twin,OK,benign
2026-09-04T12:27:47.465879,no_1,9,evil_twin,OK,benign
2026-09-04T12:27:48.043512,no_2,10,evil_twin,OK,benign
2026-09-04T12:27:48.559905,no_3,11,evil_twin,OK,benign
2026-09-04T12:27:49.102953,no_1,12,evil_twin,OK,benign
2026-09-04T12:27:49.641508,no_2,13,evil_twin,OK,benign
2026-09-04T12:27:50.142965,no_3,14,evil_twin,OK,benign
2026-09-04T12:27:50.613467,no_1,15,evil_twin,OK,benign
2026-09-04T12:27:51.065247,no_2,16,evil_twin,OK,benign
2026-09-04T12:27:51.435479,no_3,17,evil_twin,OK,benign
2026-09-04T12:27:51.808026,no_1,18,evil_twin,OK,benign
2026-09-04T12:27:52.149730,no_2,19,evil_twin,OK,benign
2026-09-04T12:27:52.489223,no_3,20,evil_twin,OK,benign
2026-09-04T12:27:52.809312,no_1,21,evil_twin,OK,benign
2026-09-04T12:27:53.105546,no_2,22,evil_twin,OK,benign
2026-09-04T12:27:53.422190,no_3,23,evil_twin,OK,benign
2026-09-04T12:27:53.705774,no_1,24,evil_twin,OK,benign
2026-09-04T12:27:53.973721,no_2,25,evil_twin,OK,benign
2026-09-04T12:27:54.265732,no_3,26,evil_twin,OK,benign
2026-09-04T12:27:54.525244,no_1,27,evil_twin,OK,benign
