timestamp,name_solicitante,name_conselheiro,ip_origem,ip_destino,tempo_de_processamento_ms,decisao,ground_truth
2025-11-13T20:28:16.927519,conselheiro_1,conselheiro_2,192.168.1.101,192.168.1.101,2056.5550,ERROR_CONNECTION_REFUSED,INTRUSION
2025-11-13T20:28:28.987856,conselheiro_1,conselheiro_3,192.168.1.101,192.168.1.101,2055.2716,ERROR_CONNECTION_REFUSED,INTRUSION
2025-11-13T20:28:41.033506,conselheiro_1,conselheiro_2,192.168.1.101,192.168.1.101,2040.5333,ERROR_CONNECTION_REFUSED,INTRUSION
2025-11-13T20:28:45.918312,conselheiro_1,conselheiro_3,192.168.1.101,192.168.1.101,2021.8210,ERROR_CONNECTION,NORMAL
2025-11-13T20:29:59.269361,conselheiro_1,conselheiro_3,192.168.1.101,192.168.1.101,2028.8584,ERROR_CONNECTION_REFUSED,INTRUSION
2025-11-13T20:30:05.571517,conselheiro_1,conselheiro_2,192.168.1.101,192.168.1.101,2042.8319,ERROR_CONNECTION_REFUSED,INTRUSION
2025-11-13T20:30:06.318495,conselheiro_1,conselheiro_3,192.168.1.101,192.168.1.101,2045.7375,ERROR_CONNECTION_REFUSED,INTRUSION
2025-11-13T20:30:13.360245,conselheiro_1,conselheiro_3,192.168.1.101,192.168.1.101,2037.5359,ERROR_CONNECTION_REFUSED,INTRUSION
2025-11-13T20:30:22.635136,conselheiro_1,conselheiro_3,192.168.1.101,192.168.1.101,2052.2027,ERROR_CONNECTION_REFUSED,INTRUSION
2025-11-13T20:30:27.753957,conselheiro_1,conselheiro_3,192.168.1.101,192.168.1.101,2015.7535,ERROR_CONNECTION_REFUSED,INTRUSION
2025-11-13T20:30:30.395302,conselheiro_1,conselheiro_3,192.168.1.101,192.168.1.101,2028.5668,ERROR_CONNECTION_REFUSED,INTRUSION
2025-11-13T20:30:37.437231,conselheiro_1,conselheiro_3,192.168.1.101,192.168.1.101,2037.7715,ERROR_CONNECTION_REFUSED,INTRUSION
2025-11-13T20:30:39.702594,conselheiro_1,conselheiro_3,192.168.1.101,192.168.1.101,2055.4829,ERROR_CONNECTION_REFUSED,INTRUSION
2025-11-13T20:30:46.736182,conselheiro_1,conselheiro_2,192.168.1.101,192.168.1.101,2030.0751,ERROR_CONNECTION_REFUSED,INTRUSION
2025-11-13T20:30:49.462897,conselheiro_1,conselheiro_2,192.168.1.101,192.168.1.101,2015.3742,ERROR_CONNECTION_REFUSED,INTRUSION
2025-11-13T20:30:56.511161,conselheiro_1,conselheiro_2,192.168.1.101,192.168.1.101,2044.8825,ERROR_CONNECTION_REFUSED,INTRUSION
2025-11-13T20:31:08.573628,conselheiro_1,conselheiro_2,192.168.1.101,192.168.1.101,2057.7493,ERROR_CONNECTION_REFUSED,INTRUSION
2025-11-13T20:31:14.833694,conselheiro_1,conselheiro_3,192.168.1.101,192.168.1.101,2056.1388,ERROR_CONNECTION_REFUSED,INTRUSION
2025-11-13T20:31:15.615556,conselheiro_1,conselheiro_3,192.168.1.101,192.168.1.101,2037.9794,ERROR_CONNECTION_REFUSED,INTRUSION
2025-11-13T20:31:18.815695,conselheiro_1,conselheiro_2,192.168.1.101,192.168.1.101,2049.0344,ERROR_CONNECTION_REFUSED,INTRUSION
2025-11-13T20:31:21.880766,conselheiro_1,conselheiro_3,192.168.1.101,192.168.1.101,2043.1087,ERROR_CONNECTION_REFUSED,INTRUSION
2025-11-13T20:31:22.675672,conselheiro_1,conselheiro_3,192.168.1.101,192.168.1.101,2056.8628,ERROR_CONNECTION_REFUSED,INTRUSION
2025-11-13T20:31:28.927762,conselheiro_1,conselheiro_3,192.168.1.101,192.168.1.101,2043.7520,ERROR_CONNECTION_REFUSED,INTRUSION
2025-11-13T20:31:40.976577,conselheiro_1,conselheiro_2,192.168.1.101,192.168.1.101,2039.1409,ERROR_CONNECTION_REFUSED,INTRUSION
2025-11-13T20:31:44.747971,conselheiro_1,conselheiro_3,192.168.1.101,192.168.1.101,2050.0414,ERROR_CONNECTION_REFUSED,INTRUSION
2025-11-13T20:31:45.870305,conselheiro_1,conselheiro_3,192.168.1.101,192.168.1.101,2044.8925,ERROR_CONNECTION_REFUSED,INTRUSION
2025-11-13T20:31:48.017533,conselheiro_1,conselheiro_3,192.168.1.101,192.168.1.101,2036.9880,ERROR_CONNECTION_REFUSED,INTRUSION
